Project Name,Lat,Lon,Energy,Installed Capacity (kW),Registered As
The Big Lemon CIC,50.81516,-0.10624,Low Carbon Transport,leer,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
Bristol Energy Cooperative,51.45256,-2.58808,Low Carbon Transport,leer,Registered Society
Carmarthenshire Energy /Ynni Sir Gar,51.85713,-4.31141,Low Carbon Transport,leer,Private Limited Company by guarantee without share capital use of 'Limited' exemption
Ynni Llyn,52.84954,-4.58586,Low Carbon Transport,leer,Private Limited Company by guarantee without share capital use of 'Limited' exemption
Resilient Energy Alvington Court Renewables,51.70783,-2.56843,Low Carbon Transport,leer,Private limited Company
Gower Power Co-op CIC,51.58355,-4.10296,Low Carbon Transport,leer,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
Sustainable Kirtlington,51.87157,-1.27647,Low Carbon Transport,leer,Registered society
Harbury Energy Initiative,52.23716,-1.45446,Low Carbon Transport,leer,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
Charge my Street,54.04469,-2.79745,Low Carbon Transport,leer,Community Benefit Society
Lightfoot Enterprises,52.41433,-3.01516,Low Carbon Transport,leer,Private Limited Company by guarantee without share capital use of 'Limited' exemption
Carbon Co-op,53.48204,-2.23342,Low Carbon Transport,leer,Registered society
Repower Balcombe,51.13652,-0.03466,Low Carbon Transport,leer,Registered society
Gwent Energy CIC,51.63635,-2.68166,Low Carbon Transport,leer,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
Bridges Centre,51.81041,-2.72346,Low Carbon Transport,leer,Private Limited Company by guarantee without share capital use of 'Limited' exemption
Awel Coop,51.8009,-3.82047,Low Carbon Transport,leer,Registered society
361 Energy CIC,51.11418,-4.16975,Low Carbon Transport,leer,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
Rose Hill and Iffley Low Carbon (RHILC),51.73023,-1.22528,Low Carbon Transport,leer,Registered society
Cwm Arian Renewable Energy ,51.95622,-4.61075,Low Carbon Transport,leer,Registered Society
Fal Energy Partnership,50.22413,-5.08544,Low Carbon Transport,leer,Registered Society
Sustainable Blewbury,51.56196,-1.23023,Low Carbon Transport,leer,Charitable incorporated organisation
Keswick and Cockermouth  Solar and Car Share Project,54.66543,-3.36964,Low Carbon Transport,Not applicable,Private limited Company
Amberley Museum - Arundel,50.901897,-0.53935481,Low Carbon Transport,Not avalible,Private Limited Company by guarantee without share capital use of 'Limited' exemption
Bolney Wine Estate - Haywards Heath,50.99388,-0.21113978,Low Carbon Transport,Not avalible,Private limited Company
Carden Primary School - Brighton & Hove,50.863304,-0.12888923,Low Carbon Transport,Not avalible,School
Park Gate Residencial Flats - Brighton & Hove,50.829185,-0.15839857,Low Carbon Transport,Not avalible,Private limited Company
Rathfinny Wine Estate - Alfriston,50.798193,0.13937352,Low Carbon Transport,Not avalible,Private limited Company
University of Brighton - Varley Park Halls of Residence - Brighton & Hove,50.864001,-0.10852564,Low Carbon Transport,Not avalible,School
University of Brighton - Falmer Campus - Brighton & Hove,50.860353,-0.084474061,Low Carbon Transport,Not avalible,School
Datblygiadau Egni Gwledig (DEG),53.07914,-4.31408,Storage,leer,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
Bath & West Community Energy,51.37569,-2.38535,Storage,leer,Registered society
Sport in Desford,52.62186,-1.29307,Storage,leer,Private limited Company
The Green Valleys,51.85837,-3.13595,Storage,leer,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
Brighton & Hove Energy Services Co-operative (BHESCo),50.82795,-0.14192,Storage,leer,Registered Society
Brighton & Hove Energy Services Co-operative (BHESCo),50.82795,-0.14192,Storage,-,Registered Society
Bristol Energy Cooperative,51.45256,-2.58808,Storage,leer,Registered society
 Power Cornwall,50.2827,-5.20945,Storage,leer,Registered Society
 Energy Pembrokeshire,51.79869,-4.73501,Storage,leer,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
Carmarthenshire Energy /Ynni Sir Gar,51.85713,-4.31141,Storage,leer,Community Benefit Society
Egni Sir Gar ,51.85555,-4.30526,Storage,leer,Registered society
Ynni Llyn,52.84954,-4.58586,Storage,leer,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
Resilient Energy Alvington Court Renewables,51.70783,-2.56843,Storage,leer,Private limited Company
Gower Power Co-op CIC,51.58355,-4.10296,Storage,leer,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
Banister House (Repowering),51.54862,-0.04636,Storage,leer,Registered society
Sustainable Kirtlington,51.87157,-1.27647,Storage,leer,Registered society
Energise Barnsley,51.51971,-0.11634,Storage,leer,Community Benefit Society
Generation ,51.51971,-0.11634,Storage,leer,Registered Society
Harbury Energy Initiative,52.23716,-1.45446,Storage,leer,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
Charge my Street,54.04469,-2.79745,Storage,leer,Community Benefit Society
Carbon Co-op,53.48204,-2.23342,Storage,leer,Overseas entity
Repower Balcombe,51.13652,-0.03466,Storage,leer,Registered society
Gwent Energy CIC,51.63635,-2.68166,Storage,leer,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
Awel Coop,51.8009,-3.82047,Storage,leer,Registered society
Calleva Community Energy,53.21252,-0.74719,Storage,leer,Registered Society
361 Energy CIC,51.11418,-4.16975,Storage,leer,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
Meadows Ozone Energy Services Company,52.93659,-1.14311,Storage,leer,Private company limited by guarantee without share capital
Carbon Alternatives ,51.74382,-1.22654,Storage,leer,Private limited Company
Cwm Arian Renewable Energy ,51.95622,-4.61075,Storage,leer,Registered Society
Smart community projects,51.46967,-0.28777,Storage,leer,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
South Hill Association for Renewable Energy,50.52198,-4.36047,Storage,leer,Community Benefit Society
Forest Row Energy Co-op,51.09502,0.03465,Storage,leer,Registered society
Alistair Fleming High Street Shop Thermal Battery,50.80404,-0.057,Storage,12,Private limited Company
Bristol Energy Co-operative (Lovedon Fields),51.09496,-1.29417,Storage,100,Registered society
Norwich  Solar Skills,52.62194,1.238824,Skills & Capacity Building,leer,Registered society
Glasgow Community Energy,55.84528,-4.27452,Skills & Capacity Building,Not applicable,Private limited Company
Bridgefoot and Little Clifton Energy Hub,54.6492,-3.46441,Skills & Capacity Building,leer,Council
Energy Champions,54.077204,-2.8425674,Skills & Capacity Building,Not applicable,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
Energy Heroes,53.383026,-2.3519922,Skills & Capacity Building,Not applicable,Private limited Company
Humberston Eco Conservation Centre - HECC,53.52351,-0.051792425,Skills & Capacity Building,Not applicable,Private limited Company
Energy Heroes,53.383026,-2.3519922,Skills & Capacity Building,Not applicable,Private limited Company
Qualifications for Industry (QFI),52.282619,-1.5294719,Skills & Capacity Building,Not applicable,Private limited Company
Energy Heroes Programme,53.383026,-2.3519922,Skills & Capacity Building,Not applicable,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
CREW Energy - Energy Matters Schools Programme,51.45538,-0.18064,Skills & Capacity Building,Not applicable,School
Jessica Dunning - Young advocate for community energy,53.378365,-1.4707676,Skills & Capacity Building,Not applicable,Private limited Company
Younity - Community Energy Kickstart,50.912619,-1.4067033,Skills & Capacity Building,Not applicable,Overseas entity
 Energy South - Pathways Programme,50.872429,0.011308473,Skills & Capacity Building,Not applicable,Private company limited by guarantee without share capital
UK Power Networks - Local Area Energy Planning,51.498513,-0.099777917,Skills & Capacity Building,Not applicable,Private limited Company
 Energy South - Pathways Programme,50.872429,0.011308473,Skills & Capacity Building,Not applicable,Private company limited by guarantee without share capital
Younity - largest buyer of community generated energy,52.274097,-1.5673449,Skills & Capacity Building,Not available,Private limited Company
Pathways Programme - building capacity and supporting growth of sector,50.872429,0.011308473,Skills & Capacity Building,Not available,Private company limited by guarantee without share capital
Northern Powergrid - Community Energy Engagement Strategy,53.718831,-1.3639462,Skills & Capacity Building,Not avalible,Private limited Company
 Energy London - recognised for activity in the capital,51.48593,0.009065,Skills & Capacity Building,Not avalible,Registered Society
Energise Sussex Coast - 1066 Local Energy Offer - Hastings,50.873433,0.60968242,Skills & Capacity Building,Not avalible,Registered society
 Power Cornwall,50.28267,-5.20943,Heat (Biomass),810,Registered Society
John Cleveland College  Woodheat Co-op,52.54679,-1.35297,Heat (Biomass),800,School
Springbok Sustainable Wood Heat Cooperative ,51.10333,-0.5291,Heat (Biomass),398,Registered society
Woolhope Dome  Woodfuel,53.57142,-0.07288,Heat (Biomass),200,Registered society
John Cleveland College  Woodheat,52.54719,-1.35323,Heat (Biomass),70,School
Green Fox Community Energy Co-operative,52.54719,-1.35323,Heat (Biomass),800,Registered Society
Narbeth Energy ,51.79869,-4.73501,Heat (Biomass),199,Registered Society
Springbok Sustainable Wood Heat Cooperative ,51.10333,-0.5291,Heat (Biomass),398,Registered society
Woolhope Woodheat,52.09016,-2.51834,Heat (Biomass),200,Private limited Company
Morecambe Bay Community Renewables(we shorten this to MORE Renewables),54.1474,-2.29369,Heat (Biomass),20,Registered society
Nafisi Environmental Research,51.04596,-0.24433,Heat (Biomass),80,Private limited Company
Brighton & Hove Energy Services Co-op [BHESCo],50.82051,-0.13636,Heat (Pump),292,Registered society
TVAC Heat Project (MaidEnergy),51.52147,-0.72327,Heat (Pump),70kW,Private limited Company
Meadows Ozone Energy Services Company,52.93659,-1.14317,Heat (Pump),9,Private company limited by guarantee without share capital
Nadder Community Energy,51.06684,-2.08327,Heat (Pump),5,Community Benefit Society
Stockwood  Benefit  ,52.23271,-2.00867,Heat (Pump),265,Registered Society
Stockwood  Benefit ,52.23355,-2.00527,Heat (Pump),265,Registered Society
Kingston  Pavilion,50.85668,-0.02783,Heat (Pump),16,Private company limited by guarantee without share capital
MaidEnergy Heat Pump,51.495192,-0.5947474,Heat (Pump),60kW,Registered society
Basingstoke Energy Co-operative,51.268162,-1.0740947,"Generation, multiple tech",Not applicable,Registered society
Barningham Energy (Barningham Net Zero CIC),54.488511,-1.8704084,"Generation, multiple tech",Not applicable,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
Hovingham Project Purple (Stalled due to grid capacity),54.170512,-0.97882959,"Generation, multiple tech",Not applicable,Private limited Company
Comet Nursery - Retrofit Action Plan [Home Energy Action Lab],51.535899,-0.080672987,"Generation, multiple tech",Not avalible,Scottish charitable incorporated organisation
Thames Head Energy,51.648481,-1.9687911,"Generation, multiple tech",Not avalible,Community Benefit Society
Sheffield Community Energy,53.362212,-1.5219981,"Generation, multiple tech",Not avalible,Private limited Company
" Energy Project [Rode, Beckington & Norton St Philip Climate Emergency Group]",51.282995,-2.2836743,"Generation, multiple tech",Not avalible,Council
Northern Community Power,54.494974,-1.3546313,Efficiency,Not applicable,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
Transition West Gateshead,54.966027,-1.7153436,Efficiency,Not applicable,Charitable incorporated organisation
"Peacock and Verity  Spaces, Masham",54.222621,-1.6566277,Efficiency,Not applicable,Converted/closed company
Groundwork Yorkshire - Green Doctors,52.476951,-1.8872804,Efficiency,Not applicable,Private limited Company
Wadebridge Renewable Energy Network (WREN),50.532439,-4.8200913,Efficiency,Not applicable,Registered Society
Draughton Action to Zero [Draughton Parish Council],53.96954,-1.941442,Efficiency,Not applicable,Council
Nafisi Environmental Research,51.045977,-0.24431432,Heat,80kWh,Private limited Company
Glyme Valley,51.856191,-1.3613482,Heat,Not applicable,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
Heat Upper Heyford,51.929911,-1.2777675,Heat,Not applicable,Overseas entity
Kingswear Parish Council,50.348481,-3.5731006,Heat,Not applicable,Council
Bee Sustainable [Bury  Hydro],53.52848,-2.268,Anaerobic Digestion,240,Industrial and Provident Society
Totnes Renewable Energy ,50.43089,-3.69123,Anaerobic Digestion,100,Registered Society
Brampton and Beyond Energy ,54.94424,-2.7352502,Anaerobic Digestion,Not applicable,Registered Society
Morecambe Bay Community Renewables[MORE],54.07604,-2.7559,Solar Thermal,22,Registered society
Morecambe Bay Community Renewables(we shorten this to MORE Renewables),54.04473,-2.80457,Solar Thermal,1.86,Registered society
St John's Sunshine ,53.45714,-2.26816,Solar Thermal,-,Registered Society
Low Carbon Hub - leader in trials for wider sector,51.748166,-1.2737012,Flexibility & Grid Services,Not applicable,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
ACE & PEC - Moths to a Flame project,50.722882,-3.5017352,Engagment & Inclusion,Not applicable,Private limited Company
Bishop Auckland  Solar Project,54.6649551,-1.6731885,Solar,,Private limited Company
Humshaugh Net Zero  Action (Stage II),55.0321871,-2.1283819,Solar,,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
SCENE  Solar,55.1280902,-1.5020107,Solar,,Overseas entity
Energy Equality Foundations,50.5324216,-4.820076,Solar,,Private limited Company
Compton Dando Elm Park Farm  Solar Farm,51.3817174,-2.5089881,Solar,,Registered society
Chelson Meadow Ground Mount solar (Stage 2),50.3698027,-4.0949619,Solar,,Private limited Company
Clay park community solar and Microgrid (Stage 2),50.4409458,-3.6978865,Solar,,Registered Society
Roseland Renewable energy Project,50.1971422,-4.973958,Solar,,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
WWCE Salisbury Petersfinger Farm community solar (Stage 2),51.0611761,-1.7711371,Solar,,Registered society
Little Marlow Solar Farm,51.586309,-0.7414201,Solar,,Registered society
Riding Sunbeams Kent,51.107889,0.9837744,Solar,,Private company limited by guarantee without share capital
Merston Solar Farm Expansion,50.8103686,-0.7072567,Solar,,Private limited Company
Ouse Valley Solar Farm,50.9080507,0.0507091,Solar,,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
Sacrewell Heritage Farm (William Scott Abbott Trust),52.5949005,-0.4174731,Solar,,Private limited Company
Ovesco St Georges Solar Farm,50.9540318,-0.100117,Solar,,Registered society
Ynni Newydd - Bretton Hall Solar Farm,53.1712791,-2.9556696,Solar,,Registered society
Lymm Community Energy,53.3728347,-2.4597353,Solar,,Community Benefit Society
Northern Roots,53.532179,-2.1032289,Solar,,Private Limited Company by guarantee without share capital use of 'Limited' exemption
Solar Meadow ,53.7505733,-2.3938206,Solar,,Private limited Company
Brampton 2 Zero,53.6105365,-2.304821,Solar,,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
Hraborough Schools Go Green,52.4778214,-0.9610898,Solar,,School
Hanleys Energy Action Team (HEAT),52.0800949,-2.2381421,Solar,,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
Sustainable Hayfield PV,53.3837106,-1.9627365,Solar,,Industrial and Provident Society
Wem Town Council,52.8589184,-2.7264498,Solar,,Council
Rooftop Solar,52.1151297,-1.8873022,Solar,,Private limited Company
Birmingham and Solihull Rugby Football club,52.3550731,-1.8784868,Solar,,Registered society
Askrigg Community Energy,54.3131295,-2.0881479,Heat,,Industrial and Provident Society
Bishop Auckland Deep Geothermal,54.6649551,-1.6731885,Heat,,Private limited Company
Ryedale Village Halls Solar Array & Battery Storage,54.2021759,-0.8066698,Heat,,Private limited Company
Tow Law Sustainable Heat and Power Project,54.7479685,-1.8159716,Heat,,Private limited Company
Renewable Heating for schools,51.0832485,-1.9780495,Heat,,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
Energy for community buildings,51.6400851,-2.021411,Heat,,Private Limited Company by guarantee without share capital use of 'Limited' exemption
Mount Kelly Foundation Heat Project ,50.5564503,-4.1345713,Heat,,CIO
Sponne & Bickerstaffe Almshouses,52.1291673,-0.9954979,Heat,,Private limited Company
Forest Row Renewable Heating,51.0985574,0.032747,Heat,,Private limited Company
Firle Village DHN,50.8465211,0.0854562,Heat,,Private Limited Company by guarantee without share capital use of 'Limited' exemption
Thames Valley Athletics Centre,51.4951921,-0.5947329,Heat,,Private limited Company
Great Staughton DHN,52.2676879,-0.3423042,Heat,,Private limited Company
Outwood Decarbonisation,51.1923488,-0.1166936,Heat,,Private limited Company
Upper Heyford,51.9319247,-1.2762952,Heat,,Private limited Company
Green Heating Shoreham,51.335268,0.1776644,Heat,,Council
Grantchester DHN,52.1829504,0.0939016,Heat,,Private limited Company
Crowhurst Solar Farm,50.8909391,0.5361036,Heat,,Limited liability partnership
Energy Alton Thedden Grange GSHP,51.1477628,-1.0228785,Heat,,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
Heating  Bildeston,52.1074196,0.9089582,Heat,,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
Kings Langley DHN,51.7152562,-0.4465691,Heat,,Registered society
Chipping Low Carbon Heat,53.8832447,-2.5780926,Heat,,Other
Kirkby Stephen low carbon heat,54.4732304,-2.3485628,Heat,,Other
Partington Low Carbon Heat,54.2970745,-2.6449991,Heat,,Other
Ludlow 21,52.4922822,-2.9981877,Heat,,Private Limited Company by guarantee without share capital use of 'Limited' exemption
Birchvale  Local Community Energy System,53.3049888,-2.2244854,Heat,,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
Brassington Comminity HEAT CIC,53.0863376,-1.6559821,Heat,,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
Big Green Build Renewable & Low Carbon Energy,54.4120202,-1.7445675,Generation & Heat,,Private limited Company
Bishop Auckland Churches Sustainable Energy Scheme,54.6562474,-1.6767303,Generation & Heat,,Private Limited Company by guarantee without share capital use of 'Limited' exemption
FerryHill Buildings Renewables Project,54.689747,-1.5540057,Generation & Heat,,Private limited Company
Haltwhistle Swimming and Leisure Centre Energy (Stage II) ,54.9717089,-2.4666243,Generation & Heat,,Private Limited Company by guarantee without share capital use of 'Limited' exemption
Leppington Energy CIC,54.0369811,-0.8320043,Generation & Heat,,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
Prudhoe  Buildings Renewable Energy,54.9613786,-1.8497473,Generation & Heat,,Private limited Company
Renewable Energy Thwing Parish,54.1159895,-0.3979354,Generation & Heat,,Council
Zero Saxon Vale,51.2299056,-2.3192089,Generation & Heat,,Private limited Company
Harberton  Microgrid (Stage 2),50.4409458,-3.6978865,Generation & Heat,,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
Dalesdown Centre Decarbonisation,50.9487405,-0.3527458,Generation & Heat,,Council
Winchester Science Centre,51.0593715,-1.2653491,Generation & Heat,,Private limited Company
Henley Town Council,51.537402,-0.9064786,Generation & Heat,,Council
Green Great Coxwell,51.6392257,-1.6130466,Generation & Heat,,Registered society
Bucks Community Energy,51.7663716,-0.7409552,Generation & Heat,,Private limited Company
Warmer Camber,50.9356846,0.7959931,Generation & Heat,,Private limited Company
Watlington Community Energy,51.6444653,-1.007645,Generation & Heat,,Overseas entity
Berkhamsted Decarbonisation,51.7576825,-0.5678512,Generation & Heat,,Council
Decarbonising Litlington,50.7949635,0.1594047,Generation & Heat,,Registered society
Wilsford Land Trust Stage,52.9755686,-0.5046828,Generation & Heat,,Registered society
Barningham Net Zero,54.4885379,-1.8704391,"Generation, Multiple tech",,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
Net Zero for Humber Area Methodists,53.7669093,-0.2861737,"Generation, Multiple tech",,Private limited Company
Hero for Zero,50.6616689,-1.1495683,"Generation, Multiple tech",,Private limited Company
Bore Place Decarbonisation,51.2204986,0.1552155,"Generation, Multiple tech",,Council
Bendrigg Trust ,54.2970745,-2.6449991,"Generation, Multiple tech",,Private Limited Company by guarantee without share capital use of 'Limited' exemption
Carbon Negative Sports Hub,52.7883404,-1.677775,"Generation, Multiple tech",,Private limited Company
Sedgeberrow Energy Mapping,52.0444592,-1.9681101,"Generation, Multiple tech",,Industrial and Provident Society
Lutterworth Rugby Club Stage,52.90539,-1.0439101,"Generation, Multiple tech",,Registered society
Tove Benefice Green Energy Project,52.1325965,-0.9875169,"Generation, Multiple tech",,Council
Bradgate Park Trust,52.6895115,-1.204999,"Generation, Multiple tech",,Private company limited by guarantee without share capital
Sustainable Uttoxeter,52.8989179,-1.8633722,"Generation, Multiple tech",,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
Hydrogen future for Isle of Wight,50.6956813,-1.4267164,Low Carbon Transport,,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
IoW Riding Sunbeams,50.6616689,-1.1495683,Low Carbon Transport,,Private company limited by guarantee without share capital
BWCE EV Network,51.356156,-2.1990085,Low Carbon Transport,,Private limited Company
Net-Zero Exemplar Housing Energy and Mobility Scheme ,50.3907405,-3.8991729,Low Carbon Transport,,Private company limited by guarantee without share capital
Cuckmere  Solar,50.8724828,0.0113392,Low Carbon Transport,,Community Benefit Society
Riding Sunbeams Essex,51.6615967,0.0985082,Low Carbon Transport,,Private company limited by guarantee without share capital
Westmill Smartgrid and Storage,51.6168283,-1.6657812,Low Carbon Transport,,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
Sustainable Keswick,54.6006989,-3.1395939,Low Carbon Transport,,Charitable incorporated organisation
Harbury Future Energy,52.2367014,-1.4553774,Low Carbon Transport,,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
Belper Clusters EV charging generation Scheme,52.790099,-1.6832189,Low Carbon Transport,,Charitable incorporated organisation
Driving towards Carbon Zero,52.6580845,-0.9818671,Low Carbon Transport,,Private limited Company
Charlebury Micro-hydro Scheme,51.8733449,-1.4819268,Hydro,,Council
Dane Valley Community Energy ,53.1771419,-2.1931452,Hydro,,Community Benefit Society
Melbreak CIC,54.5412228,-3.276991,Hydro,,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
Irwell Hydro,53.6105365,-2.304821,Hydro,,Private limited Company
Congleton Park Hydro,53.1659234,-2.2092791,Hydro,,Private limited Company
Nantwich Hydro ,53.0771402,-2.5218391,Hydro,,Converted/closed company
Sustainable Duddon,54.3034802,-3.1989711,Hydro,,Charitable incorporated organisation
Eckington Hydro,52.0674196,-2.118511,Hydro,,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
Cromford Mill Water Power,53.1088195,-1.5555684,Hydro,,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
Amble Zero Carbon Harbour,55.3526213,-1.6082547,"Generation, Heat & Storage",,Private limited Company
Net Zero Carbon Wetherby,53.9290638,-1.386676,"Generation, Heat & Storage",,Private limited Company
Towards Carbon Neutral Churches in Craven,53.9854881,-1.9821978,"Generation, Heat & Storage",,Private limited Company
Wiveliscombe Community Energy,51.043367,-3.3104702,"Generation, Heat & Storage",,Registered society
Bishops Lydeard power for community transport,51.0543416,-3.1943519,"Generation, Heat & Storage",,Private limited Company
Newbald Energy Company,53.8189215,-0.6201382,Wind,,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
Energy Local Bridport Wind ,50.7554744,-2.750209,Wind,,Registered society
Lee Moor  Wind Farm,50.4327465,-3.9909178,Wind,,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
The Othona ,51.7333229,0.9255919,Wind,,Private Limited Company by guarantee without share capital use of 'Limited' exemption
Southport Eco- centre Wind turbine,53.6454627,-3.0208805,Wind,,Private limited Company
Smart Connected Renewable Community Energy ,55.1802789,-1.6485276,Storage,,Other
Solar Smart Communities,53.7442,-2.0821883,Storage,,Private company limited by guarantee without share capital
Trinity Energy Hub,54.1396864,-1.5315852,Storage,,Charitable incorporated organisation
Sustainable Hayfield Multi,53.1698073,-1.5951643,Under review,,Industrial and Provident Society
Hanley Energy Action village decarbonisation study,52.6393708,-1.8404775,Under review,,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
Circular Malton & Norton CIC Anaerobic Digester,54.135269,-0.8075528,Anaerobic digestion,,"Private company limited by guarantee without share capital
                       Community Interest Company (CIC)"
Kinver Sports Association,52.4528344,-2.2282894,Energy Efficiency,,Registered society
Power to the People,53.5246193,-0.0470495,Offgrid Generation,,Private limited Company
Derby Dales Community Energy ,53.1404737,-1.5565574,Skills & Capacity Building,,Registered society
Thrive Renewables,51.4516912,-2.603991,Storage,,Public limited Company
BHESCo,50.8204737,-0.1363809,Energy Efficiency,,Private company limited by guarantee without share capital
Sustainable Hayfield,53.3810009,-1.950968,Energy Efficiency,,Charitable incorporated organisation
 Energy Together,52.7112918,-2.7331306,Solar PV,,Private limited Company
 Energy Together,51.4860623,-0.1184753,Solar PV,,Private limited Company
 Energy Together,50.3507868,-4.0399481,Solar PV,,Private limited Company
 Energy Together,51.583043,-4.102374,Solar PV,,Private limited Company
 Energy Together,51.4860623,-0.1184753,Solar PV,,Private limited Company
Rossendale Valley Energy - Net Zero Terrace Street project,53.7025021,-2.2008954,"Generation, multiple tech",,Registered society
Tollesbury Climate Partnership,51.7605993,0.8335847,"Generation, multiple tech",,Community Benefit Society
Repowering Communities,51.464755,-0.1151016,Skills & Capacity Building,,Community Benefit Society
 Energy London,51.4859287,0.0090775,Skills & Capacity Building,,Community Benefit Society
Exeter Community Energy - Healthy Homes and Wellbeing project,50.7229348,-3.5243881,Energy Efficiency,,School
Cumbria Action for Sustainability- Cold to Cosy Homes,54.6618579,-2.7489253,Energy Efficiency,,Private Limited Company by guarantee without share capital use of 'Limited' exemption
Wiltshire Wildlife Community Energy- Keeping Warm This Winter project,51.4157736,-2.2035045,Energy Efficiency,,Registered society
North Lincolnshire Council,53.5652885,-0.0814334,Skills & Capacity Building,,Council
Essex County Council,51.7372459,0.4757375,Skills & Capacity Building,,Council
Hampshire County Council,55.378051,-3.435973,Skills & Capacity Building,,Council
Exeter Community Energy,50.7229348,-3.5243881,Energy Efficiency,,Registered Society
Yorkshire North and East Methodist District,53.9546065,-1.1305963,Skills & Capacity Building,,Council
Derbyshire Dales Community Energy,53.1473535,-1.5656676,Solar PV,,Community Benefit Society
Grimsby Community Energy,53.5712182,-0.073108749,Solar PV,,Community Benefit Society
Cumbria Action for Sustainability,54.6618579,-2.7489253,Skills & Capacity Building,,Private Limited Company by guarantee without share capital use of 'Limited' exemption
 Energy South,50.8724294,0.0113085,Skills & Capacity Building,,Private limited Company
York Community Energy (YCE),53.9560547,-1.0880778,Energy Efficiency,,Community Benefit Society
Energy Heroes,53.3830364,-2.3519895,Skills & Capacity Building,,Private limited Company
 Energy South,50.8724294,0.0113085,Skills & Capacity Building,,Private limited Company
Power to Change,51.4984978,0.1044451,Skills & Capacity Building,,Private limited Company
Younity,52.2768227,-1.546064,Skills & Capacity Building,,Private limited Company
Cumbria Action for Sustainability (CAfS),54.6618579,-2.7489253,Energy Efficiency,,Private Limited Company by guarantee without share capital use of 'Limited' exemption
Springbok Sustainable Wood Heat Co-operative,51.1884689,-0.6167884,Energy Efficiency,,Registered society
